Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
outcome,DIAGNOSIS,diagn_chickenpox,radio,Chickenpox / varicella,"1, Lab confirmed | 0, Lab negative | 2, Not tested and no clinical diagnosis | 3, Not tested and clinically diagnosed | 99, Unknown",,,,,,,Refers to the method of identifying or excluding an infection with chickenpox virus (Varicella-zoster virus) in this admission.,Select the single most appropriate option that represents the method of identifying or excluding an infection with chickenpox virus (Varicella-zoster virus) in this admission.,,,,,,,,1,,,
outcome,DIAGNOSIS,diagn_hepatitis,group,HEPATITIS,,,,,,,,,,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_hepatitis_test,radio,Hepatitis viruses,"1, Lab confirmed | 0, Lab negative | 2, Not tested | 99, Unknown",,,,,,,Refers to the method of identifying or excluding an acute infection with a hepatitis virus in this admission.,Select the single most appropriate option corresponding to the method of identifying or excluding an acute infection with a hepatitis virus in this admission.,SNOMED,"3738000, Viral hepatitis (disorder)",,,,,1,,,,
outcome,DIAGNOSIS,diagn_hepatitis_type,radio,Hepatitis type,"1, A | 2, B | 3, C | 4, D | 5, E | 88, Other",,,,,[diagn_hepatitis_test] = '1',,"This refers to both DNA and RNA viruses as well viruses from humans and animals, following a non-taxonomic classification of unrelated viruses, that cause liver inflammation and dysfunction.","If 'Lab confirmed' Hepatitis virus infection, select the single most appropriate option corresponding to the type of Hepatitis virus detected.",SNOMED,"40468003, Viral hepatitis, type A (disorder) | 66071002, Viral hepatitis type B (disorder) | 50711007, Viral hepatitis type C (disorder) | 707341005, Viral hepatitis type D (disorder) | 7111000119109, Viral hepatitis type E (disorder)",,,,,1,,,,
outcome,DIAGNOSIS,diagn_hepatitist_other,text,Specify other hepatitis type,,,,,,[diagn_hepatitis_type]='88',,"This refers to both DNA and RNA viruses as well viruses from humans and animals, following a non-taxonomic classification of unrelated viruses, that cause liver inflammation and dysfunction.","If 'Other', specify the type of Hepatitis virus. ",,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue,group,DENGUE,,,,,,,,,,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_test,radio,Dengue virus infection,"1, Lab confirmed | 0, Lab negative | 2, Not tested and no clinical diagnosis | 3, Not tested and clinically diagnosed | 99, Unknown",,,,,,,Refers to the method of identifying or excluding an acute infection with a Dengue virus in this admission.,Select the single most appropriate option corresponding to the method of identifying or excluding an acute infection with a Dengue virus in this admission. If the test was not performed Select 'Unknown'.,SNOMED,"38362002, Dengue (disorder)",,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_nsi,radio,NS1 RDT,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to a dengue NS1 antigen on the NS1 rapid diagnostic test.,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,"C5849637, Dengue NS1 antigen test",,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_ns1,radio,NS1/IgM/IgG combination test (RDT) - NS1 first sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to a dengue NS1 antigen on the combined rapid diagnostic test (NS1/IgM/IgG).,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_igm,radio,NS1/IgM/IgG combination test (RDT) - IgM first sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to a dengue IgM antibody on the combined rapid diagnostic test (NS1/IgM/IgG).,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_igg,radio,NS1/IgM/IgG combination test (RDT) - IgG first sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to a dengue IgG antibody on the combined rapid diagnostic test (NS1/IgM/IgG).,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_elisa,radio,NS1 ELISA first sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,May be substituted with RDT information if needed,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_datefs,date_dmy,IgM/IgG ELISA first sample date,,date_dmy,,today,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to the date the first sample was collected. ,Enter the date in DD/MM/YYYY format.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_igmfs,radio,IgM ELISA first sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,May be substituted with RDT information if needed,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_iggfs,radio,IgG ELISA first sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,May be substituted with RDT information if needed,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_ns1sec,radio,NS1 ELISA second sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,May be substituted with RDT information if needed,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_datess,date_dmy,IgM/IgG ELISA second sample date,,date_dmy,,today,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to the date the first sample was collected. ,Enter the date in DD/MM/YYYY format.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_igmss,radio,IgM ELISA second sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,May be substituted with RDT information if needed,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_iggss,radio,IgG ELISA second sample,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,May be substituted with RDT information if needed,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_pcr,radio,Dengue PCR,"1, Positive | 0, Negative | 99, Unknown",,,,,[diagn_dengue_test] = '1' or [diagn_dengue_test]='0',,This refers to polymerase chain reaction (PCR) test for Dengue virus.,Indicate either 'Positive' or 'Negative' according to the result. Select 'Unknown' if the test was not performed.,SNOMED,"399302007, Polymerase chain reaction test for Dengue virus (procedure)",,,,,1,,,,
outcome,DIAGNOSIS,diagn_dengue_pcrtyp,radio,Dengue virus type,"1, DENV1 | 2, DENV2 | 3, DENV3 | 4, DENV4",,,,,[diagn_dengue_pcr] = '1',,"This refers to the serotype label of the viral species of Dengue virus, which is a single-stranded, positive-sense RNA virus of the Flaviviridae family and Flavivirus genus, detected using the PCR test.",Select the single most appropriate option that represents the serotype label of the viral species of Dengue virus detected using the PCR test.,SNOMED,"60588009, Dengue virus, type 1 (organism) | 41328007, Dengue virus, type 2 (organism) | 8467002, Dengue virus, type 3 (organism) | 36700002, Dengue virus, type 4 (organism)",,,,,1,,,,
outcome,DIAGNOSIS,diagn_bacte,list,Bacterial infection,"1, Lab confirmed | 0, Lab negative | 2, Not tested | 99, Unknown",,,,pathogens_Bacteria,,,Refers to the method of identifying or excluding a bacterial infection in this admission.,Select the single most appropriate option that represents the method of identifying or excluding a bacterial infection in this admission.,SNOMED,"87628006, Bacterial infectious disease (disorder)",,,,1,1,1,,,
outcome,DIAGNOSIS,diagn_pathounlist,list,Other pathogen(s) detected,"1, Yes | 0, No | 99, Unknown",,,,pathogens_Other,,,"This refers to the detection of other pathogens, not listed above.","Specify other detected pathogens, not listed above.",,,,,,1,1,1,,,
outcome,DIAGNOSIS,diagn_clinpneumonia,radio,Clinical pneumonia diagnosed?,"1, Yes | 0, No | 99, Unknown",,,,,,,Pneumonia refers to infection of the lung often accompanied by inflammation.,Indicate 'Yes' if pneumonia was clinically diagnosed at any time during hospitalisation.,,,,,,1,,,,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_viralpneum,radio,Viral pneumonia / pneumonitis,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as pneumonitis (pneumonia) that is believed to occur as a direct consequence of an infecting virus/infecting viruses. Viral pneumonitis may be a clinical diagnosis, with or without radiographic or histopathological evidence of lung consolidation. Although preferred, identification of the infecting viral species is not essential to make the diagnosis.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"75570004, Viral pneumonia","C0032310, Viral pneumonia",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_bacpneumo,radio,Bacterial pneumonia,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as pneumonia (pneumonitis) that is believed to occur as a direct consequence of infecting bacteria. It is an acute infection of the lung parenchyma caused by bacteria (e.g., Streptococcus pneumoniae, Haemophilus influenzae, Chlamydia pneumoniae, Mycoplasma pneumoniae, and Legionella pneumophila). Signs and symptoms include productive cough, fever, chills, shortness of breath, and chest pain. Bacterial pneumonia may be a clinical diagnosis, with or without radiographic or histopathological evidence of lung consolidation. Although preferred, identification of the infecting bacterial species is not essential to make the diagnosis.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"53084003, Bacterial pneumonia","C0004626, Bacterial pneumonia",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_pneumothor,radio,Pneumothorax,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as the abnormal presence of air in the pleural cavity (between the lungs and the chest wall), causing collapse of the lung. It may be diagnosed clinically, usually with radiological confirmation.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"36118008, Pneumothorax","C3553768, Pneumothorax",,clinical_features,1,,,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_pleuraleff,radio,Pleural effusion,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as increased amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough, and chest pain. It is usually caused by lung infections, congestive heart failure, pleural and lung tumours, connective tissue disorders, and trauma. It may be diagnosed clinically, with or without radiological or interventional confirmation.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"60046008, Pleural effusion","C0032227, Pleural effusion",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_copneumoni,radio,Cryptogenic organising pneumonia (COP),"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"This refers to an idiopathic diffuse interstitial lung disease, diagnosed radiologically (multiple consolidative or ground glass opacities) or histologically (granulation tissue and chronic inflammatory infiltrate in alveoli). Formerly known as bronchiolitis obliterans organizing pneumonia (BOOP).","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"719218000, Cryptogenic organizing pneumonia","C0242770, Cryptogenic organizing pneumonia",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_bronchioli,radio,Bronchiolitis,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"This refers to Inflammation of the bronchioles. In adults, bronchiolitis is a general term used to describe a nonspecific Inflammation of the bronchioles characterized by swelling of the bronchioles and mucus accumulation. It is usually caused by the respiratory syncytial virus and affects children. Signs and symptoms include coughing, wheezing, and shortness of breath. In the majority of cases, open or thoracoscopic lung biopsy is required to make a definitive diagnosis, although tissue confirmation may not be necessary in patients with a clear predisposition and typical radiological findings. In infants and children, bronchiolitis is defined as an illness in children <2 years of age, characterized by wheezing and airway obstruction due to primary infection or reinfection with a viral or bacterial pathogen, resulting in inflammation of the small airways/bronchioles. This is a clinical diagnosis, generally in children < 2 years old.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"4120002, Bronchiolitis","C0006271, Bronchiolitis",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_myocardial,radio,Myocardial infarction,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,"Defined as myocardial ischaemia leading to injury/necrosis, diagnosed by clinical findings, altered electrocardiography and elevated cardiac enzymes.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"22298006, Myocardial infarction","C3280935, Myocardial infarction",,clinical_features,1,,,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_cardiacisc,radio,Cardiac ischaemia,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,"Defined as diminished blood and oxygen supply to the heart muscle as indicated by typical symptomatology (e.g. chest pain) and confirmed by an electrocardiogram (showing ischaemic changes, e.g. ST depression or elevation) and/or cardiac enzyme elevation (e.g. raised troponin I).","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"414795007, Myocardial ischaemia","C0746731, Acute myocardial ischaemia",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_endocardit,radio,Endocarditis,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,"This refers to an inflammation of the endocardium (inner lining of the heart). It is often caused by a primary disorder or microorganisms including bacteria, viruses, fungi, and rickettsiae Diagnosis of infective endocarditis is according to modified Duke criteria, using evidence from microbiological results, echocardiogram and clinical signs.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"56819008, Endocarditis","C0014118, Endocarditis",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_cardiomyop,radio,Cardiomyopathy,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,This refers to structural and functional disorders of myocardium commonly diagnosed by echocardiography. Cardiomyopathy can be primary (genetic) or secondary (e.g. following myocardial infarction).,"Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"85898001, Cardiomyopathy","C3809229, Cardiomyopathy",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_chf,radio,Congestive heart failure,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,"Defined as failure of the heart to pump a sufficient amount of blood to meet the needs of the body tissues, resulting in tissue congestion and oedema. Signs and symptoms include shortness of breath, pitting oedema, enlarged tender liver, engorged neck veins, and pulmonary rales. There are many ways to assess cardiac function (e.g. echocardiography, right heart catheterization, functional testing and supportive biochemical tests). However, there is no diagnostic test for heart failure, since it is largely a clinical diagnosis that is based upon a careful history and physical examination.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"42343007, Congestive heart failure","C3551869, Congestive heart failure",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_strokecva,radio,Stroke / cerebrovascular accident,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as a sudden loss of neurological function secondary to haemorrhage or ischemia in the brain parenchyma due to a vascular event. Stroke may be a clinical diagnosis, with or without supportive radiological findings.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"230690007, Cerebrovascular accident","C3554760, Stroke",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_severeneuro,radio,Severe neurological disease,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"This refers to various neurological manifestations including meningitis, encephalitis, encephalopathy, acute symptomatic seizures, intracranial haemorrhage or stroke, and Guillain-Barre syndrome (GBS). Meningitis is an inflammatory disease of the leptomeninges, the tissues surrounding the brain and spinal cord, and is defined by an abnormal number of white blood cells in the cerebrospinal fluid (CSF) within an appropriate clinical context and with or without supportive radiological findings. Encephalitis refers to inflammation of the brain. In comparison with meningitis, in encephalitis, abnormalities in brain function are expected, including altered mental status, motor or sensory deficits, altered behaviour and personality changes, and speech or movement disorders. It is defined by an altered mental status lasting ?24 hours along with two of the following criteria: documented fever >/= 38°C (100.4°F); white blood cell count (WBC) in cerebrospinal fluid (CSF) >/= 5  cells/mm^3; generalized or partial seizures not fully attributable to a preexisting seizure disorder; new onset of focal neurological findings; presence of compatible acute lesion on neuroimaging; abnormality on electroencephalography that is consistent with encephalitis and not attributable to another cause. As outlined by the 2013 International Encephalitis Consortium. Seizures are defined as an intermittent abnormality of nervous system physiology characterised by a transient occurrence of sudden, violent, irregular movement of the body, caused by involuntary contraction of muscles due to abnormal excessive or synchronous neuronal activity in the brain. An established history of epilepsy is not required. Stroke refers to a sudden loss of neurological function secondary to haemorrhage or ischemia in the brain parenchyma due to a vascular event. Stroke may be a clinical diagnosis, with or without supportive radiological findings. Intracranial haemorrhage refers to haemorrhage/bleeding occurring within the skull. Intracranial haemorrhage encompasses four broad types of haemorrhage: epidural haemorrhage, subdural haemorrhage, subarachnoid haemorrhage, and intraparenchymal haemorrhage. Guillain-Barre syndrome refers to a rapidly progressive autoimmune disorder of the peripheral nervous system characterized by limb paraesthesia, areflexia, and generalized muscle weakness or paralysis that often begins in the legs and spreads to the arms, torso, and face. Required features include progressive weakness of the arms and/or legs, ranging from minimal weakness of the legs to total paralysis of all four limbs, and including the trunk, bulbar and facial muscles, and external ophthalmoplegia; and areflexia or decreased deep tendon reflexes in weak limbs. Supportive features include symptom progression over days to four weeks; Relatively symmetric, bilateral symptoms; Pain in the trunk or limbs; Cranial nerve symptoms or signs; Autonomic dysfunction; Sensory dysfunction that is mild; No fever at symptom onset; CSF with elevated protein and normal to mildly elevated leukocyte count (usually <5 cells/mm3); Electrodiagnostic abnormalities consistent with GBS; Recovery starting two to four weeks after progression halts.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,7180009 |Meningitis (disorder)| 45170000 |Encephalitis (disorder)| 81308009 |Disorder of brain (disorder)|41370002 |Myelitis (disorder)|230690007 |Cerebrovascular accident (disorder)|1386000 |Intracranial haemorrhage (disorder)|40956001 |Guillain-Barre syndrome (GBS) (disorder)|,,,clinical_features,,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_cellulitis_yn,radio,Cellulitis,"1, Yes | 0, No | 99, Unknown",,,,,,Skin,"Defined as an acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection. Diagnosis is made on clinical signs and symptoms, it can be supported by microbiological evidence.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"128045006, Cellulitis","C0007642, Cellulitis",,clinical_features,,,1,,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_cellulitis_site,checkbox,Site(s) of cellulitis,"1, Skin | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vagina | 88, Other | 99, Unknown",,,,,[compl_cellulitis_yn] = '1',Skin,This refers to the site(s) in which cellulitis was identified.,"Select the most appropriate site(s) in which cellulitis was identified at any time during hospitalisation. If 'Other', Specify the other site(s) in the space provided below.",SNOMED,128277003 | Cellulitis of head (disorder) |37223007 | Cellulitis of neck (disorder) |46876003 | Cellulitis of trunk (disorder) |449671007 | Cellulitis of upper limb (disorder) |449710006 | Cellulitis of lower limb (disorder) |26330000 | Cellulitis of perineum (disorder),"C0007642, Cellulitis",,clinical_features,,,1,,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_cellulitis_other,text,Specify other site(s) of cellulitis,,,,,,[compl_cellulitis_site(88)]='1',Skin,This refers to the other site(s) in which cellulitis was identified.,"If 'Other', write the site(s) in which cellulitis was identified at any time during hospitalisation. ",,,,,clinical_features,,,1,,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_eschar,radio,Skin tissue loss or eschar,"1, Yes | 0, No | 99, Unknown",,,,,,Skin,"Eschar is defined as a dry, dark scab or falling away of dead skin, typically caused by a burn, an insect bite (e.g. some rickettsial infections), or infection with anthrax.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"409590008, Skin eschar","C0521172, Skin eschar",,clinical_features,,,1,,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_bacteraemi,radio,Bacteraemia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the presence of bacteria in blood, most often detected through blood culture investigation. Episodes of suspected artefactual contamination of a blood culture should not be recorded.","Indicate 'Yes' if bacteraemia occurred at any time during hospitalisation. Indicate 'No', if bacteraemia never occurred or if only bacteria grown were believed to be skin contaminants (e.g. coagulase negative Staphylococci or diphtheroids).",SNOMED,"5758002, Bacteremia","C0004610, Bacteremia",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_thrombemb_yn,radio,Thromboembolism,"1, Yes | 0, No | 99, Unknown",,,,,,Haematology,Defined as the occlusion of the lumen of a blood vessel by a thrombus that has migrated from a distal site via the blood stream.,"Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"371039008, Thromboembolic disorder","C3550383, Thromboembolism",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_thrombemb_pe,radio,Pulmonary embolism (PE),"1, Yes | 0, No | 99, Unknown",,,,,[compl_thrombemb_yn]=1,Haematology,"Defined as the occlusion of a pulmonary artery by thrombus, air or fat. Physician diagnosis based on clinical signs and/or radiological tests (e.g. computed tomographic pulmonary angiography and/or ventilation/perfusion scanning).","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"233935004, Pulmonary thromboembolism","C0524702, Pulmonary thromboembolism",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_thrombemb_dvt,radio,Deep vein thrombosis (DVT),"1, Yes | 0, No | 99, Unknown",,,,,[compl_thrombemb_yn]=1,Haematology,"Defined as the presence of a blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity. Symptoms may include pain, swelling, warmth, and redness in the affected area. Physician diagnosis based on clinical signs and/or appropriate diagnostic imaging e.g. ultrasonography.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"128053003, Deep venous thrombosis","C3536663, Acute deep venous thrombosis",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_thrombemb_oth,radio,Other thromboembolism (not PE or DVT),"1, Yes | 0, No | 99, Unknown",,,,,[compl_thrombemb_yn]=1,Haematology,This refers to thromboembolic diagnoses not specified above.,"Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",,,,,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_thrombemb_spec,text,Specify other thromboembolism,,,,,,[compl_thrombemb_oth]='1',Haematology,This refers to the other thromboembolic diagnoses not specified above.,"If 'Other', write the other thromboembolic diagnoses the patient experienced at any time during hospitalisation. ",,,,,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_anaemia,radio,Anaemia,"1, Yes | 0, No | 99, Unknown",,,,,,Haematology,"Defined as a reduction in the number of red blood cells, the amount of haemoglobin, and/or the volume of packed red blood cells. Clinically, anaemia represents a reduction in the oxygen-transporting capacity of a designated volume of blood, resulting from an imbalance between blood loss (through haemorrhage or haemolysis) and blood production. Signs and symptoms of anaemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability. The World Health Organization thresholds are used for defining anaemia, for example in adult males aged over 15 years anaemia is defined by a haemoglobin <130g/L (<8.1mmol/L); for non-pregnant females aged over 15 years thresholds are <120g/L (<7.4mmol/L).","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"271737000, Anaemia","C4229468, Anaemia",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_rhabdomyol,radio,Rhabdomyolysis,"1, Yes | 0, No | 99, Unknown",,,,,,Musculoskeletal,"Rhabdomyolysis is a syndrome characterised by muscle necrosis and the release of myoglobin into the blood, resulting from muscle injury. Diagnosis is made in a patient with either an acute neuromuscular illness or dark urine without other symptoms, plus a marked acute elevation in creatine kinase. The creatine kinase is typically at least five times the upper limit of normal (there is no diagnostic threshold to establish the diagnosis, however). Muscle biopsy, electromyography, radiological imaging and the presence of myoglobinuria are not required for the diagnosis.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"240131006, Rhabdomyolysis","C4014084, Rhabdomyolysis",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_myositis,radio,Myositis,"1, Yes | 0, No | 99, Unknown",,,,,,Musculoskeletal,"Myositis is defined as an inflammatory process affecting the skeletal muscles. Causes include infections, injuries, and autoimmune disorders. It may be a clinical diagnosis with supporting evidence from laboratory tests e.g. elevated serum creatine kinase; histological confirmation is not required to make the diagnosis. Myositis can occur without subsequent progression to rhabdomyolysis.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"26889001, Myositis","C4014723, Myositis",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_pancreatit,radio,Pancreatitis,"1, Yes | 0, No | 99, Unknown",,,,,,Other,"This refers to acute inflammation of the pancreas. Acute pancreatitis is diagnosed clinically with supporting biochemical (e.g serum amylase or serum lipase) and/or radiological and/or histological evidence. All evidence should be considered together, since no single feature is diagnostic of acute pancreatitis.","Indicate 'Yes', if the patient experienced this at any time during hospitalisation.",SNOMED,"75694006, Pancreatitis","C4011703, Pancreatitis",,clinical_features,1,,1,1,,
outcome,COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.,compl_hyperglyce,radio,Hyperglycemia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"For adults, is defined as an abnormally high level of glucose in the blood, blood glucose level that is consistently above 126mg/dL or 7 mmol/L. For children, is defined as a blood glucose level consistently above 8.3 mmol/L.",,SNOMED,"80394007, Hyperglycaemia","C4015534, Hyperglycaemia",,clinical_features,1,,,,,
