Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
daily,IMAGING,imagi_ctchest_yn,radio,CT Chest performed,"1, Yes | 0, No | 99, Unknown",,,,,[daily_dataimagi]='1',,,,,,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctchest_date,date_dmy,CT Chest date ,,date_dmy,,today,,[imagi_ctchest_yn] = '1',,,Write the date in which the CT was performed (use the format DD/MM/YYYY).,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctchest_infiltra,radio,Lung infiltrates present,"1, Yes | 0, No | 99, Unknown",,,,,[imagi_ctchest_yn] = '1',,"Refers to the presence of pulmonary or lung infiltrates and can include alveolar, air space, interstitial, or nodular infiltrates and typically refers to a substance or type of cell that is foreign to the lung, or accumulates in greater than normal quantity within it.",,,,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctchest_result,checkbox,CT Chest result,"1, Normal | 2, Pulmonary infiltrates | 3, Pneumonia | 4, Pleural effusion | 88, Other",,,,,[imagi_ctchest_yn] = '1',,"Refers to the findings identified on the CT chest. Pulmonary infiltrates refers to the presence of pulmonary or lung infiltrates and can include alveolar, air space, interstitial, or nodular infiltrates and typically refers to a substance or type of cell that is foreign to the lung, or accumulates in greater than normal quantity within it.",,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctchest_resultoth,text,Describe other CT chest result,,,,,,[imagi_ctchest_result(88)]='1',,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctchest_resultpleu,checkbox,Side(s) where pleural effusion identified ,"1, Right | 2, Left",,,,,[imagi_ctchest_result(4)]='1',,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctbrain,group,CT BRAIN,,,,,,,,This section refers to any Brain CT (computed tomography) scan that was performed was performed at the time the patient stayed in the clinical facility (hospital) and collected on the date of assessment. ,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctbrain_yn,radio,CT Brain performed,"1, Yes | 0, No | 99, Unknown",,,,,[daily_dataimagi]='1',,,If a CT Brain was performed Select 'Yes' and continue with questions relavent to the CT. If no CT Brain was performed Select 'No' and skip to the next section.,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctbrain_date,date_dmy,CT Brain date ,,date_dmy,,today,,[imagi_ctbrain_yn] = '1',,,Write the date in which the CT was performed (use the format DD/MM/YYYY).,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ctbrain_findings,text,CT Brain findings,,,,,,[imagi_ctbrain_yn] = '1',,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_mrib,group,MRI BRAIN,,,,,,,,This section refers to any MRI Brain scan that was performed was performed at the time the patient stayed in the clinical facility (hospital) and collected on the date of assessment. ,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_mrib_yn,radio,MRI performed,"1, Yes | 0, No | 99, Unknown",,,,,[daily_dataimagi]='1',,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_mrib_date,date_dmy,MRI date ,,date_dmy,,today,,[imagi_mrib_yn] = '1',,,Write the date in which the MRI Brain was performed (use the format DD/MM/YYYY).,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_mrib_findings,text,MRI findings,,,,,,[imagi_mrib_yn] = '1',,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound,group,ULTRASOUND,,,,,,,,This section refers to any Ultrasound that was performed at the time the patient stayed in the clinical facility (hospital) and collected on the date of assessment. ,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_yn,radio,Ultrasound performed,"1, Yes | 0, No | 99, Unknown",,,,,[daily_dataimagi]='1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_date,date_dmy,Ultrasound date ,,date_dmy,,today,,[imagi_ultrasound_yn] = '1',,,Write the date in which this imaging test was performed (use the format DD/MM/YYYY).,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_asc,radio,Ascites,"1, Yes | 0, No | 99, Unknown",,,,,[imagi_ultrasound_yn] = '1',,Ascites or peritoneal effusion refers to a pathological increase of fluid in the peritoneal cavity.,If Ascites was identified on ultrasound on date of assessment Indicate 'Yes'. If there was no Ascites on ultrasound on date of assessment Indicate 'No'. If the peritoneal cavity was not examined by ultrasound for Ascites on date of assessment Indicate 'Unknown'.,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_ascsit,radio,Ascites grading,"1, Small | 2, Moderate | 3, Severe",,,,,[imagi_ultrasound_asc] = '1',,"Ascites can be of three severities (please refer to International Ascites Club). Mild/small ascites (grade 1) is detectable only by ultrasonography and typically requires approximately 100mL of fluid (where normal volume is approximately 25-50mL); Moderate ascites (grade 2) implying at least 500-1000mL of peritoneal fluid and detected with physical examination; Severe ascites (grade 3) refers to the manifestation of grossly distended abdomen, may be described as tense ascites.",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_pleff,radio,Pleural effusion,"1, Yes | 0, No | 99, Unknown",,,,,[imagi_ultrasound_yn] = '1',,Pleural effusion refers to a pathological increase of fluid in the pleural space.,If Pleural Effusion(s) was identified on ultrasound on date of assessment Indicate 'Yes'. If there was no Pleural Efffusion(s) on ultrasound on date of assessment Indicate 'No'. If the pleural space was not examined by ultrasound for pleural effusion(s) on date of assessment Indicate 'Unknown'. ,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_plefr,number,Pleural effusion right size (cm),,number,,,,[imagi_ultrasound_pleff] = '1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_plefl,number,Pleural effusion left size (cm),,number,,,,[imagi_ultrasound_pleff] = '1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_peric,radio,Pericardial effusion,"1, Yes | 0, No | 99, Unknown",,,,,[imagi_ultrasound_yn] = '1',,Pericardial effusion refers to a pathological increase of fluid in the pericardial space.,If Pericardial Effusion was identified on ultrasound on date of assessment Indicate 'Yes'. If there was no Pericardial Effusion on ultrasound on date of assessment Indicate 'No'. If the pericardial space was not examined by ultrasound for a pericardial effusion on date of assessment Indicate 'Unknown'. ,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_perics,number,Pericardial effusion size (cm),,number,,,,[imagi_ultrasound_peric] = '1',,Refers to the depth of the effusion.,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_liversize,number,Liver size (cm),,number,,,,[imagi_ultrasound_yn] = '1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_gallbladder,number,Gallbladder wall (cm),,number,,,,[imagi_ultrasound_yn] = '1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_unlisted,radio,Other finding(s),"1, Yes | 0, No | 99, Unknown",,,,,[imagi_ultrasound_yn] = '1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ultrasound_unlistedoth,text,Specify other findings,,,,,,[imagi_ultrasound_unlistedoth] = '1',,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_eeg,group,EEG,,,,,,,,This section refers to any EEG (electroencephalogram) study that was performed was performed at the time the patient stayed in the clinical facility (hospital) and collected on the date of assessment. ,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_eeg_yn,radio,EEG performed,"1, Yes | 0, No | 99, Unknown",,,,,[daily_dataimagi]='1',,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_eeg_date,date_dmy,EEG date ,,date_dmy,,today,,[imagi_eeg_yn] = '1',,,Write the date in which the EEG was performed (use the format DD/MM/YYYY).,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_eeg_findings,text,EEG findings,,,,,,[imagi_eeg_yn] = '1',,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_unlisted,radio,Other imaging performed,"1, Yes | 0, No | 99, Unknown",,,,,[daily_dataimagi]='1',,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_unlisted_other,text,Specify other findings on imaging,,,,,,[imagi_unlisted] = '1',,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ecg,radio,Electrocardiogram (ECG),"1, Yes-normal | 2, Yes-abnormal | 0, No",,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ecg_spec,text,ECG summary,,,,,,[imagi_ecg]='2',,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_ecg_date,date_dmy,ECG date,,date_dmy,,today,,[imagi_ecg]='1' or [imagi_ecg]='2',,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_echo,radio,Echocardiogram (Echo),"1, Yes-normal | 2, Yes-abnormal | 0, No",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
daily,IMAGING,imagi_echo_spec,text,Echo summary,,,,,,[imagi_echo]='2',,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_day,text,Clinical Visit Day,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_dat,text,Collection Date,,date_dmy,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_time,text,Time of collection,,time,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_type,list,Sample type,"1, Anal swab | 2, Blood in EDTA tube | 3, Blood in RNA tube (Tempus/PAXgene) | 4, Blood in sodium citrate tube | 5, Blood sample in serum (clotted tubes) | 6, Bronchoalveolar lavage (BAL) | 7, Cell pellet (from EDTA blood) | 8, Cerebrospinal Fluid (CSF) | 9, Endotracheal Aspirate (ETA) | 10, Hair sample | 11, Nasal SAM Strip | 12, Nasopharyngeal Aspirate | 13, Nose Swab | 14, Oracol crevicular fluid swab | 15, Penile swab | 16, Plasma (from EDTA blood) | 17, Rectal swab | 18, Serum (from clotted blood) | 19, Skin swab | 20, Sores swab | 21, Stool | 22, Throat Swab | 23, Ulcers swab | 24, Urine | 25, Vesicles swab | 88, Other | 99, Unknown",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_oth,text,Other sample type,,,,,,[rs_type]='88',,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_id,text,Sample ID,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_yn,radio,Were Research Samples taken on this day (The results of Research Samples do not need to be recorded on the CRF),"1, Yes | 0, No",,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_date,text,"If YES, date of Research Sampling",,date_dmy,,today,,[rs_yn]='1',,,Write the date in which research sampling occurred. Use DD/MM/YYYY format.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_kitno,text,"If YES, please record the KIT number",,,,,,[rs_yn]='1',,,"Enter the KIT number for this sample. The first 3 characters should be CCP, then record 5 characters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_reasno,text,"If NO, specify reason",,,,,,[rs_yn]='0',,,Describe why research sampling was not performed.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood,group,BLOOD TESTS,,,,,,,,This pertains to blood tests in relation to research sampling.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_fbc,radio,FBC (Full Blood Count),"1, Yes | 0, No",,,,,[rs_yn]='1',,"Full blood count (FBC) or complete blood count (CBC) refers to a test that determines the number of red blood cells, white blood cells, and platelets in a sample of blood.",,SNOMED,26604007 | Complete blood count (procedure) |,"C0009555, Complete blood count",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_fbcspec,text,Reason Full Blood Count not done:,,,,,,[rs_blood_fbc]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_ue,radio,U&E (Renal profile),"1, Yes | 0, No",,,,,[rs_yn]='1',,A renal profile or urea and electrolytes (U&E) measurement.,,SNOMED,252167001 | Measurement of urea and electrolytes (procedure) |,"C0430088, Urea and electrolytes measurement.",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_uespec,text,Reason U&E not done:,,,,,,[rs_blood_ue]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_lft,radio,(LFT) Liver profile,"1, Yes | 0, No",,,,,[rs_yn]='1',,Liver profile or liver function tests (LFT).,,SNOMED,26958001 | Hepatic function panel (procedure) |,"C0023901, Liver function test",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_lftspec,text,Reason LFT not done:,,,,,,[rs_blood_lft]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_bone,radio,Bone profile,"1, Yes | 0, No",,,,,[rs_yn]='1',,"A bone profile blood test assess analyses the proteins, minerals and enzymes relavent to bone metabolism (e.g. Calcium, Phosphate, Albumin, Alkaline phosphatase).",,SNOMED,167036008 | Bone profile (procedure) |,"C0430041, Bone profile",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_bonespec,text,Reason Bone profile not done:,,,,,,[rs_blood_bone]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_gluc,radio,Blood glucose,"1, Yes | 0, No",,,,,[rs_yn]='1',,A quantitative measurement of glucose in blood.,,SNOMED,"33747003 | Glucose measurement, blood (procedure) |","C0392201, Blood glucose measurement",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_glucspec,text,Reason Blood glucose not done:,,,,,,[rs_blood_gluc]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_hiv,radio,HIV serology (only at admission),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,SNOMED,165813002 | Human immunodeficiency virus antibody test (procedure) |,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_hivspec,text,Reason HIV serology not done:,,,,,,[rs_blood_hiv]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_cd4,radio,"CD4 Count (if HIV positive, only at admission)","1, Yes | 0, No",,,,,[rs_yn]='1',,,,SNOMED,313660005 | Absolute CD4 count procedure (procedure) |,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_cd4spec,text,Reason CD4 Count not done:,,,,,,[rs_blood_cd4]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_igg,radio,Serology IgG/IgM (Plain Blood tube),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_iggspec,text,Reason serology IgG/IgM not done:,,,,,,[rs_blood_igg]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_pcr,radio,Blood for Mpox PCR (EDTA Tube),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_pcrspec,text,Reason blood for Mpox PCR not done:,,,,,,[rs_blood_pcr]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox,group,MPOX SAMPLES,,,,,,,,This section pertains to MPOX samples in relation to research sampling.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_yn,radio,Were Research Mpox Samples taken on this day (Results of Mpox Samples do not need to be recorded on the CRF),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_date,date_dmy,"If YES, date of Research Mpox Sampling",,,,today,,[rs_mpox_yn]='1',,,Write the date in which research sampling occurred. Use DD/MM/YYYY format.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_reas,text,"If NO, specify reason:",,,,,,[rs_mpox_yn]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_throat,radio,Throat swab for Mpox PCR,"1, Yes | 0, No",,,,,[rs_mpox_yn]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_throatspec,text,"If NO, reason throat swab not done:",,,,,,[rs_mpox_throat]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_swab,radio,Lesion swabs (x2) for Mpox PCR,"1, Yes | 0, No",,,,,[rs_mpox_yn]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_swabspec,text,"If NO, reason lesions swabs not done:",,,,,,[rs_mpox_swab]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_scab,radio,Lesion crust/scab for Mpox PCR,"1, Yes | 0, No",,,,,[rs_mpox_yn]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_scabspec,text,"If NO, reason lesion crust/scab not done:",,,,,,[rs_mpox_scab]='0',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
outcome_medication,"MEDICATION: While hospitalised were any of the following administered or prescribed on discharge? For all questions of duration, please count the number of calendar days that the patient received the treatment. For treatments that were stopped and retsarted, count those daus on which the treatment was given but don't count any calendar days on which it was not given at all.",medi_medtype,user_list,Select all agents administered while hospitalised or at discharge.,,,,,drugs_Type,,,"This refers to all medications administered anytime during  the patient's admission in the clinical facility (hospital), including in the emergency department, and prescribed on discharge.",,,,,1,1,1,1,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
outcome_medication,"MEDICATION: While hospitalised were any of the following administered or prescribed on discharge? For all questions of duration, please count the number of calendar days that the patient received the treatment. For treatments that were stopped and retsarted, count those daus on which the treatment was given but don't count any calendar days on which it was not given at all.",medi_antiviralagent,user_list,Antiviral,,,,,drugs_Antiviral,[medi_medtype] = '6',,"Refers to any agent(s) prescribed specifically to treat a suspected or confirmed viral infection. Examples of neuraminidase inhibitors include oseltamivir, ribavirin, acyclovir and lopinavir/ritonavir (note that other examples exist). Topical preparations are not included.",,,,,1,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
outcome_medication,"MEDICATION: While hospitalised were any of the following administered or prescribed on discharge? For all questions of duration, please count the number of calendar days that the patient received the treatment. For treatments that were stopped and retsarted, count those daus on which the treatment was given but don't count any calendar days on which it was not given at all.",medi_antibioagent,user_list,Antibiotic,,,,,drugs_Antibiotics,[medi_medtype]='2',,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
